t;Demand;Demand sorted;PV output;PV output sorted;imports;imports sorted
161;8788,413965243844;8996,931088667612;44,11181663365899;9028,391904093432;250,82471145778868;2627,4798971993723
162;8655,209733452466;8996,930102392747;0,0;9025,961107614885;0,0;2627,4798971993723
163;8343,422486164327;8996,690695097906;0,0;9019,792251120418;0,0;2627,4798971993723
164;8319,459497208156;8995,847285083324;0,0;9017,061437602524;0,0;2627,4798971993723
165;8279,26896602613;8995,637671551562;0,0;9016,983557312316;0,0;2627,4798971993723
166;8172,941449689735;8995,398355178306;0,0;9016,32452531761;0,0;2627,4798971993723
167;7826,625645473793;8994,359129550328;0,0;9015,037520850536;0,0;2627,4798971993723
168;7443,800725043903;8993,720613124175;0,0;9014,075306354132;0,0;2627,4798971993723
169;7063,953482047008;8992,872215967269;0,0;9014,020970164036;0,0;2627,4798971993723
170;6841,829121026859;8992,48867889843;0,0;9013,98323392446;0,0;2627,4798971993723
171;6676,500331144837;8991,715508400826;0,0;9011,239521039604;0,0;2627,4798971993723
172;6533,802190121851;8991,53595649237;0,0;9010,945200978069;0,0;2627,4798971993723
173;6499,469841397895;8990,251600623084;0,0;9009,06937452575;0,0;2627,4798971993723
174;6650,938844501367;8990,196989867889;0,0;9007,82367107801;500,0;2627,4798971993723
175;7091,095070989289;8990,089850234881;1080,2404063676747;9007,133732002885;1000,0;2627,4798971993723
176;7527,795470293341;8990,018202642888;2473,499136041063;9005,842568112208;1500,0;2627,4798971993723
177;8155,749262356287;8987,762286467982;3661,00932796064;9004,783250314938;2000,0;2627,4798971993723
178;8505,336523485188;8987,351783260769;4884,04858632247;9000,431307143988;2500,0;2627,4798971993723
179;8702,982714685368;8986,676563903566;5399,186318689347;8999,143516944621;2627,4798971993723;2627,4798971993723
180;8722,610695178611;8985,564169855954;5316,644710421809;8996,714236182195;2627,4798971993723;2627,4798971993723
181;8553,064760357762;8984,67929032675;5014,035699626146;8994,137162254725;2627,4798971993723;2627,4798971993723
182;8666,527426709155;8984,09804132262;4279,376560578887;8987,648307446523;2627,4798971993723;2627,4798971993723
183;8724,25460056325;8983,336186879353;2902,5644120056004;8986,50168481266;2627,4798971993723;2627,4798971993723
184;8716,271369486314;8982,814797324745;1421,7194700655875;8986,298809938242;2390,5607011271186;2627,4798971993723
185;8656,198000938793;8982,809566255686;107,84729782653504;8985,561868431298;1890,5607011271184;2627,4798971993723
186;8500,411818569723;8981,956054603324;0,0;8985,213517744316;1390,5607011271184;2627,4798971993723
187;8269,242625915373;8981,904595476337;0,0;8982,47640668679;890,5607011271184;2627,4798971993723
188;8271,672489259512;8981,611492107648;0,0;8981,557906347554;390,56070112711836;2627,4798971993723
189;8218,745389381495;8981,367077946266;0,0;8981,514321361601;0,0;2627,4798971993723
190;8110,126273525746;8979,174369976896;0,0;8979,851956359473;0,0;2627,4798971993723
191;7778,635237122561;8978,582975356316;0,0;8977,633797895662;0,0;2627,4798971993723
192;7410,729052629756;8975,92911858128;0,0;8977,38320528965;0,0;2627,4798971993723
